SIGNIFICANT_POINT_ID,CODE_FIR,CODE_IN_AIRWAY,CODE_ID,CODE_CHANNEL,TXT_NAME,CODE_TYPE,GEO_LAT_ACCURACY,GEO_LONG_ACCURACY,VAL_FREQ,UOM_FREQ,VAL_MAG_VAR,VAL_ELEV,UOM_DIST_VER,TXT_RMK,IS_REP_ATC,IS_PBN,PURPOSE,ROUTE_RESTRICT,IS_TRANS_POINT,IS_BORDER_POINT,SERVICED_AIRPORT,IS_MODIFIED,
d3148638-98d6-48ed-a603-0f69a1caf7d5,昆明情报区,Y,DRD,CH118X,东定日,VOR/DME,N283559,E0865459,117.1,MHz,0.6,4301,M,VOR/DME：141°径向线顺时针方向至210°径向线之间不可用；VOR：210°径向线顺时针方向至218°径向线之间、310°径向线顺时针方向至016°径向线之间（004°径向线除外）、004°径向线距台21NM以外、004°径向线进离场程序距台15NM以外不可用；DME：210°径向线顺时针方向至226°径向线之间、307°径向线顺时针方向至036°径向线之间（004°径向线除外）、004°径向线距台13NM以外、004°径向线进离场程序距台9NM以外不可用。,Y,N,AE,N,N,N,ZUDR,N,
3956abfe-b45f-41f4-8751-c79ec739420c,上海情报区,Y,HGH,CH77X,杭州,VOR/DME,N301428,E1202738,113.0,MHz,-5.9,13,M,,Y,N,AE,N,N,N,ZSHC,N,
fdab05d3-f777-4da8-a84f-b2e2d87aa68b,沈阳情报区,Y,JGD,CH92X,加格达奇,VOR/DME,N502218,E1240717,114.5,MHz,-11.83,376,M,,Y,N,AE,N,N,N,ZYJD,N,
d01428de-7641-4ddc-a9bc-79f8813e413f,上海情报区,Y,PUD,CH116X,浦东,VOR/DME,N311014,E1214657,116.9,MHz,-5.92,15,M,,Y,N,AE,N,N,N,ZSPD,N,
690b3950-4ecc-4b73-abef-54879ca5304c,昆明情报区,Y,TEC,CH49X,腾冲,VOR/DME,N245644,E0982858,111.2,MHz,-0.81,1893,M,,Y,N,AE,N,N,N,ZPTC,N,
84677154-08b7-43fd-8732-75e4e59fee6e,北京情报区,Y,TZH,CH103X,天镇,VOR/DME,N402434,E1140309,115.6,MHz,-6.21,,,,Y,N,E,N,N,N,,N,
14a18c9c-b5cb-4030-8685-64672ac74645,武汉情报区,Y,DNY,CH85Y,安阳,VOR/DME,N355038,E1142704,113.85,MHz,-6.05,116,M,,Y,N,AE,N,N,N,ZHQQ,N,
40388738-853e-4616-96ee-745af5d5324e,沈阳情报区,Y,HEK,CH87X,黑河,VOR/DME,N501002,E1271833,114.0,MHz,-11.88,330,M,330°径向线顺时针方向至190°径向线之间不可用。,Y,N,AE,N,N,N,ZYHE,N,
1910e225-88c9-4252-a502-273b495500c7,武汉情报区,Y,DHP,CH84Y,黄陂,VOR/DME,N305217,E1142817,113.75,MHz,-4.2,55,M,,Y,N,AE,N,N,N,ZHHH/ZHEC,N,
943d07be-8c45-4750-b7d6-b3dac081f39e,三亚情报区,Y,WCF,CH122X,文昌,VOR/DME,N195100,E1104723,117.5,MHz,-2.06,49,M,,Y,N,AE,N,N,N,ZJHK,N,
00af35c0-dcf3-4cce-ab4b-136877cd5691,昆明情报区,Y,LZP,CH70X,隆子,VOR/DME,N282554,E0921301,112.3,MHz,0.02,4046,M,VOR/DME：105°径向线顺时针方向至230°径向线之间不可用；VOR：360°径向线顺时针方向至002°径向线之间、015°径向线顺时针方向至036°径向线之间、344°径向线顺时针方向至355°径向线之间、359°径向线进离场程序距台20NM以外、359°径向线航路程序距台28NM以外不可用；DME：335°径向线顺时针方向至060°径向线之间、255°径向线顺时针方向至261°径向线之间、271°径向线顺时针方向至275°径向线之间、359°径向线进场程序距台14NM以外、359°径向线离场程序、359°径向线航路程序距台19NM以外不可用。,Y,N,AE,N,N,N,ZUSH,N,
6dba93a3-11df-45b5-aa74-0d5534a39cb1,上海情报区,Y,XSY,CH74X,书院,VOR/DME,N305558,E1215219,112.7,MHz,-5.92,27,M,,Y,N,AE,N,N,N,ZSPD,N,
4bdadfd1-37b1-4471-b70f-3be12940fb0e,上海情报区,Y,FQG,CH121X,福清,VOR/DME,N254429,E1192310,117.4,MHz,-4.54,,,037°径向线距台26NM以外不可用。,Y,N,AE,N,N,N,ZSFZ,N,
c6efacde-5d38-4a4d-acc5-138dee10898f,沈阳情报区,Y,CHI,CH115X,长海,VOR/DME,N391603,E1223703,116.8,MHz,-7.77,46,M,VOR:257°径向线距台20-22NM之间不可用。,Y,N,AE,N,N,N,ZYCH,N,
77c26d80-cd4e-492a-ab34-db21b192aaab,北京情报区,Y,HDS,CH108X,鄂尔多斯,VOR/DME,N392928,E1095136,116.1,MHz,-5.61,1401,M,,Y,N,AE,N,N,N,ZBDS,N,
799c25fd-c390-449f-85c3-5291ab4c11bb,广州情报区,N,LYH,CH82Y,浏阳,VOR/DME,N282331,E1132030,113.55,MHz,-3.81,215,M,,Y,N,AE,N,N,N,ZGHA,N,
b9a06995-5b19-4260-8291-4f726992231f,北京情报区,Y,TMR,CH80X,土木尔台,VOR/DME,N415040,E1130909,113.3,MHz,-6.26,,,,Y,N,E,N,N,N,,N,
a9e3915c-5ee2-4eb4-a507-09e19a5a0bb9,三亚情报区,Y,NYB,CH80X,南盈滨岛,VOR/DME,N200050,E1100817,113.3,MHz,-1.91,27,M,,Y,N,AE,N,N,N,ZJHK,N,
31e469f0-9a34-47b0-9e52-b268632a6b30,兰州情报区,Y,DKO,CH82X,磴口,VOR/DME,N401834,E1065752,113.5,MHz,-3.62,1019,M,,Y,N,E,N,N,N,,N,
21f4b40a-def5-4d0d-afaa-bd077a294790,三亚情报区,Y,MLT,CH74X,东木栏头,VOR/DME,N200910,E1104029,112.7,MHz,-2.07,61,M,VOR：260°径向线距台21NM以外不可用。,Y,N,AE,N,N,N,ZJHK,N,
b19c91cc-b2f6-4e28-99ce-f38dd7b9e94c,乌鲁木齐情报区,Y,HTN,CH78X,和田,VOR/DME,N370204,E0795209,113.1,MHz,2.83,1431,M,,Y,N,AE,N,N,N,ZWTN,N,
76b8db1e-8f71-4906-bdf0-e1eb3aa7a8ef,昆明情报区,Y,LUM,CH88X,芒市,VOR/DME,N242414,E0983220,114.1,MHz,-0.84,887,M,VOR/DME：090°径向线顺时针方向至250°径向线之间（除飞行程序涉及的径向线）不可用；DME：085°径向线离场程序距台22NM以外不可用。,Y,N,AE,N,N,N,ZPMS,N,
869b6522-1b82-4283-a5a2-f3d249496db2,昆明情报区,Y,WLY,CH76X,五粮液,VOR/DME,N285055,E1043343,112.9,MHz,-1.9,400,M,VOR：109°径向线进近程序距台0.3NM以内不可用。,Y,N,AE,N,N,N,ZUYB,N,
b3d3a49c-9dc7-4a6a-8f59-480e218f8eff,沈阳情报区,Y,DDG,CH86X,丹东,VOR/DME,N401528,E1241705,113.9,MHz,-9.04,98,M,,Y,N,AE,N,N,N,ZYDD,N,
7a5b85f1-140e-4fb4-afba-f342d127e06f,广州情报区,Y,ZUH,CH114X,连胜围,VOR/DME,N221323,E1132756,116.7,MHz,-2.8,68,M,VOR/DME：136°径向线顺时针方向至156°径向线之间（147°径向线除外）、210°径向线进场程序与初始进近程序距台16NM以外不可用；DME：147°径向线航路程序距台15NM以外、227°径向线初始进近程序距台23NM以外不可用。,Y,N,AE,N,N,N,ZGSZ/ZGSD,N,
ad81ac49-e82b-4ff4-bd8c-19d841d3f235,沈阳情报区,Y,CHG,CH92X,朝阳,VOR/DME,N413216,E1202555,114.5,MHz,-8.79,183,M,,Y,N,AE,N,N,N,ZYCY,N,
b1736cef-0f0b-4151-8429-77755f612916,武汉情报区,Y,XSH,CH101X,浠水,VOR/DME,N302611,E1151605,115.4,MHz,-4.5,,,,Y,N,AE,N,N,N,ZHEC,N,
2f9e4ba8-cdd3-4979-9aad-9f67f0778f2c,武汉情报区,Y,LKO,CH105X,龙口,VOR/DME,N295430,E1134124,115.8,MHz,-4.14,,,VOR：050°径向线顺时针方向至080°径向线之间不可用。,Y,N,E,N,N,N,,N,
5adcf121-d3ec-4d3c-96a1-d9b6176d33ad,沈阳情报区,Y,KYU,CH96X,开原,VOR/DME,N423759,E1240028,114.9,MHz,-9.68,,,,Y,N,E,N,N,N,,N,
0da17b5f-ff0b-4648-8a93-536ce662643e,沈阳情报区,Y,DHN,CH112X,大虎山,VOR/DME,N413837,E1220658,116.5,MHz,-8.83,,,,Y,N,E,N,N,N,,N,
21b63e41-a423-4e45-9930-758d5f079dd4,武汉情报区,Y,SNJ,CH120X,神农架,VOR/DME,N313740,E1102013,117.3,MHz,-3.74,2588,M,345°径向线顺时针方向至100°径向线之间（354°径向线除外）不可用。,Y,N,AE,N,N,N,ZHSN,N,
0de3e3e8-7c78-43fe-9efb-587d842107d6,上海情报区,Y,SHR,CH87X,上饶,VOR/DME,N282504,E1175808,114.0,MHz,-4.84,,,,Y,N,AE,N,N,N,ZSSR,N,
9b9b35a6-3b41-4682-91c7-ca36ab22f9bd,沈阳情报区,Y,FSD,CH92X,绥芬河,VOR/DME,N442611,E1305300,114.5,MHz,-11.05,429,M,133°径向线距台-0.5NM至0.2NM之间不可用；0°径向线顺时针至165°径向线之间（133°、143°、153°径向线以及半径11NM195°逆时针至145°的圆弧除外）不可用。,Y,N,E,N,N,N,,N,
d2f46501-622a-4bd6-8432-e492858a5bf3,广州情报区,Y,DXJ,CH85Y,湘西,VOR/DME,N283008,E1093125,113.85,MHz,-2.98,718,M,,Y,N,AE,N,N,N,ZGXX,N,
066e6910-1ebb-459c-b8ba-e817837b8bbe,昆明情报区,Y,JTG,CH101X,金堂,VOR/DME,N305222,E1042329,115.4,MHz,-1.95,,,VOR：056°径向线进场程序距台12NM以外、170°径向线顺时针至205°径向线之间、186°径向线航路程序距台20NM以外、320°径向线顺时针至360°径向线之间不可用；DME：170°径向线顺时针至205°径向线之间、186°径向线航路程序距台25NM以外不可用。,Y,N,AE,N,N,N,ZUMY/ZUUU/ZUTF,N,
9c083759-8321-49cd-8318-75f50baef183,北京情报区,Y,HOT,CH90X,锡林浩特,VOR/DME,N435450,E1155756,114.3,MHz,-7.72,1021,M,,Y,N,AE,N,N,N,ZBXH,N,
a69111d7-c46a-4b57-a1ec-548c75e9cdc5,三亚情报区,Y,SYX,CH72X,三亚,VOR/DME,N181832,E1091019,112.5,MHz,-1.59,457,M,,Y,N,AE,Y,N,N,ZJSY,N,
